Generation,Average Fitness,Best Fitness
1,3.24667,9.0
2,3.84667,12.6
3,3.64,9.2
4,4.8,11.6
5,4.62,14.0
6,4.95333,12.2
7,6.65333,19.4
8,4.28,12.4
9,6.04667,15.0
10,7.72667,18.4
11,6.21333,19.4
12,6.39333,16.2
13,6.99333,15.8
14,6.34667,14.0
15,7.9,16.8
16,8.18,14.8
17,7.48667,12.8
18,6.87333,15.8
19,8.02667,16.2
20,7.87333,15.4
21,7.30667,15.8
22,7.52,22.8
23,7.90667,15.2
24,6.52,13.2
25,7.61333,15.4
26,7.49333,12.2
27,8.83333,18.4
28,8.55333,15.8
29,8.40667,15.0
30,8.14,14.0
31,7.59333,13.4
32,5.92,14.0
33,7.38,12.8
34,6.12667,12.2
35,5.1,9.8
36,4.64667,8.2
37,4.98,9.6
38,4.85333,9.2
39,5.26,10.8
40,6.09333,10.8
41,6.06,13.2
42,5.07333,9.6
43,5.34,10.2
44,4.81333,9.0
45,5.12,11.2
46,5.36,8.8
47,4.98667,8.0
48,4.76667,9.0
49,4.98,10.2
50,4.32667,7.4
51,3.82667,9.6
52,4.51333,10.0
53,3.79333,7.0
54,3.96667,6.8
55,3.57333,7.8
56,3.36,7.4
57,3.14667,6.0
58,3.68,7.2
59,3.19333,6.6
60,4.5,7.6
61,3.58667,7.2
62,3.85333,11.0
63,4.06667,8.6
64,4.00667,7.2
65,4.02667,12.0
66,3.58667,10.4
67,2.54,5.6
68,3.16667,5.8
69,3.1,6.2
70,2.89333,5.2
71,2.78,7.0
72,2.76667,7.8
73,2.64,6.4
74,2.40667,4.4
75,2.4,6.0
76,2.08667,4.4
77,2.28667,5.8
78,1.6,5.2
79,1.96,4.8
80,1.54,3.6
81,1.61333,3.4
82,1.73333,6.2
83,1.84,4.8
84,1.79333,3.8
85,1.47333,4.4
86,1.93333,4.4
87,1.54667,3.6
88,1.38667,3.8
89,1.41333,4.0
90,2.16667,7.0
91,2.26667,6.4
92,1.73333,3.8
93,1.74667,7.4
94,2.75333,5.8
95,1.9,5.0
96,1.90667,4.6
97,1.49333,5.4
98,1.84,4.8
99,1.57333,2.8
100,2.01333,3.8
101,2.06667,7.0
102,1.96,4.8
103,1.81333,4.2
104,1.54,3.4
105,1.48667,4.0
106,2.0,5.4
107,1.71333,4.6
108,1.48,4.2
109,1.49333,3.6
110,1.98,6.8
111,1.53333,3.8
112,1.81333,4.6
113,1.72667,7.0
114,1.95333,5.6
115,1.90667,6.6
116,1.75333,4.4
117,1.54667,6.6
118,2.09333,4.4
119,2.11333,5.0
120,1.84,4.8
121,3.34,8.6
122,3.57333,8.8
123,2.96667,7.0
124,3.08,7.6
125,2.96667,7.4
126,2.58,5.4
127,3.0,7.2
128,2.44667,4.8
129,2.7,6.2
130,1.86,5.2
131,2.46667,6.8
132,2.09333,5.6
133,2.55333,5.0
134,2.76,5.4
135,3.02,7.6
136,2.92,7.6
137,2.59333,5.8
138,2.59333,8.0
139,3.02,9.6
140,3.17333,7.2
141,2.31333,4.8
142,2.06667,6.0
143,2.4,6.2
144,2.54,5.8
145,2.31333,8.0
146,1.90667,5.0
147,2.40667,7.0
148,2.30667,6.0
149,2.16667,4.4
150,2.34,6.0
151,2.44,7.2
152,2.24667,6.0
153,2.74667,8.8
154,1.80667,3.6
155,1.80667,4.4
156,1.86,4.8
157,2.12,4.4
158,2.03333,5.0
159,1.66667,3.2
160,2.02,6.6
161,1.94667,4.4
162,1.56,4.4
163,2.04667,6.2
164,1.9,4.6
165,2.57333,6.2
166,2.89333,6.2
167,2.09333,5.2
168,2.36,6.4
169,1.98,4.4
170,2.00667,5.0
171,2.36,5.8
172,2.26667,7.0
173,2.14,4.6
174,3.13333,8.2
175,2.32,5.8
176,2.58667,6.0
177,2.08667,6.2
178,1.83333,4.2
179,1.94667,5.6
180,2.1,4.2
181,2.14,5.4
182,1.86667,4.4
183,2.1,6.6
184,2.36667,6.6
185,1.92667,3.4
186,2.38,7.0
187,2.51333,5.2
188,2.32667,6.0
189,2.38,5.4
190,2.5,5.4
191,2.28,5.4
192,2.1,4.6
193,2.18667,5.2
194,2.56667,5.0
195,2.14,6.2
196,1.61333,4.6
197,2.16,5.8
198,1.55333,4.2
199,1.70667,4.0
200,1.78,3.2
201,2.33333,4.0
202,2.40667,5.2
203,2.39333,5.8
204,1.97333,7.2
205,2.21333,5.6
206,1.94667,7.8
207,2.27333,4.2
208,2.14667,5.0
209,2.32667,4.4
210,1.98,6.8
211,1.81333,4.2
212,1.70667,5.4
213,2.37333,6.6
214,2.22667,4.4
215,2.53333,6.6
216,2.18,6.0
217,2.42667,5.8
218,2.62667,5.6
219,2.16667,4.8
220,2.23333,5.6
221,2.25333,4.6
222,2.04,5.2
223,1.94,5.8
224,1.78667,5.4
225,1.95333,6.2
226,1.67333,4.4
227,1.77333,4.2
228,1.81333,5.6
229,2.02,5.4
230,2.52,6.4
231,2.18667,6.2
232,1.86667,5.8
233,2.3,6.4
234,2.32667,6.8
235,2.50667,5.8
236,1.63333,4.4
237,2.04,5.2
238,2.49333,7.2
239,2.16667,5.0
240,2.29333,5.4
241,1.92,6.2
242,1.98667,6.0
243,2.38667,6.0
244,2.56667,7.0
245,2.26667,6.4
246,2.62,6.2
247,2.37333,6.4
248,2.51333,7.0
249,2.64667,6.2
250,2.48,6.4
251,2.44667,5.6
252,2.34,5.8
253,2.06667,4.6
254,2.07333,5.6
255,2.36667,6.0
256,1.96667,4.2
257,1.78667,5.0
258,1.99333,6.2
259,2.26,4.6
260,1.76,4.6
261,1.50667,4.4
262,1.91333,5.0
263,2.00667,4.4
264,1.98667,6.0
265,1.66,3.8
266,2.18667,5.6
267,2.16667,4.6
268,1.80667,4.6
269,1.44667,3.4
270,2.33333,5.0
271,2.28667,8.0
272,1.92667,5.4
273,2.13333,5.4
274,2.98,7.0
275,1.83333,5.2
276,1.84,6.0
277,1.82,4.4
278,1.60667,4.8
279,2.04667,5.4
280,2.05333,4.6
281,1.95333,6.4
282,2.88667,10.0
283,2.76,6.6
284,2.29333,5.4
285,2.17333,5.2
286,1.68667,5.0
287,2.2,5.4
288,2.26,5.6
289,1.9,4.2
290,1.93333,4.8
291,2.04,6.2
292,1.83333,5.8
293,1.99333,5.2
294,1.88667,6.2
295,2.59333,6.2
296,2.12667,4.6
297,2.82,7.2
298,2.02667,4.4
299,2.68,5.2
300,2.12667,6.2
301,2.20667,4.2
302,1.58667,7.2
303,1.94,4.4
304,1.92,4.8
305,1.56,4.2
306,2.14,5.4
307,2.52667,8.0
308,2.28667,4.6
309,2.18667,6.0
310,2.30667,6.2
311,1.96,5.6
312,2.48,6.8
313,2.65333,6.0
314,2.31333,6.0
315,2.37333,7.2
316,2.70667,5.8
317,1.78667,6.0
318,2.06667,4.6
319,1.89333,5.4
320,1.74667,4.0
321,2.07333,6.2
322,2.41333,6.8
323,1.77333,5.0
324,2.32667,5.6
325,3.18667,6.2
326,2.36,6.2
327,2.35333,7.2
328,2.63333,7.6
329,2.36,6.4
330,2.16667,7.2
331,2.23333,5.2
332,2.83333,5.6
333,2.58667,7.2
334,2.28667,5.4
335,1.84,3.8
336,2.34667,4.4
337,2.35333,4.6
338,2.04667,4.6
339,2.3,6.8
340,2.43333,6.0
341,2.19333,5.8
342,2.18,4.6
343,2.58,6.4
344,2.56667,6.8
345,2.54667,6.8
346,2.83333,7.2
347,3.5,6.8
348,3.30667,7.0
349,2.67333,6.2
350,3.12667,7.4
351,2.52,6.0
352,2.04667,4.6
353,2.1,5.6
354,2.14,5.8
355,1.99333,4.6
356,2.46,5.6
357,2.26667,5.4
358,2.02,4.8
359,2.40667,6.0
360,2.19333,4.6
361,2.01333,5.0
362,2.3,4.6
363,2.48,5.6
364,3.06667,7.4
365,2.82,7.2
366,2.22667,6.0
367,2.72,8.6
368,1.76667,4.0
369,1.89333,5.2
370,2.73333,7.8
371,2.28667,6.4
372,2.37333,7.6
373,2.56,5.4
374,2.53333,5.2
375,1.94667,4.2
376,2.04667,5.6
377,1.79333,5.6
378,2.32667,7.0
379,2.90667,5.8
380,2.68,7.4
381,2.72,5.8
382,3.22,8.8
383,2.78667,6.0
384,2.34667,5.6
385,2.52,7.6
386,2.16667,4.6
387,1.98667,4.0
388,1.82,4.6
389,1.81333,6.0
390,2.00667,5.4
391,2.14,5.4
392,2.32667,5.8
393,2.16,6.0
394,2.28667,6.4
395,2.57333,8.2
396,2.82,11.4
397,2.94,5.8
398,3.32,5.4
399,3.12,7.4
400,2.76,6.2
401,2.5,5.8
402,3.18667,7.4
403,2.95333,8.6
404,2.9,7.2
405,2.95333,6.8
406,2.44,6.6
407,2.59333,6.6
408,3.27333,7.8
409,3.21333,6.0
410,2.64667,8.2
411,2.98,9.4
412,2.94667,7.4
413,2.80667,5.4
414,3.24,7.4
415,2.86667,7.0
416,2.52667,8.2
417,2.82,6.4
418,2.16,5.2
419,2.64,8.0
420,3.04667,6.2
421,3.3,7.8
422,2.37333,5.6
423,3.11333,8.0
424,2.86667,6.2
425,2.41333,7.0
426,2.66667,7.4
427,2.52667,5.4
428,2.68,7.8
429,2.62,6.0
430,2.14667,5.4
431,2.52,6.4
432,2.46667,6.2
433,2.42667,5.4
434,2.04667,5.0
435,2.61333,7.2
436,2.78667,5.0
437,3.0,7.4
438,2.67333,5.4
439,2.62,7.2
440,2.46,5.2
441,3.0,7.0
442,2.1,6.4
443,2.08667,5.6
444,3.04667,7.0
445,3.72,7.8
446,2.31333,6.8
447,3.33333,6.8
448,3.05333,7.8
449,2.55333,5.6
450,2.82667,6.4
451,3.56,6.4
452,3.51333,9.2
453,3.28667,9.2
454,3.27333,6.8
455,3.08,9.0
456,3.02,6.8
457,2.8,7.0
458,3.04667,7.4
459,2.8,8.4
460,2.56,5.8
461,2.58667,6.4
462,2.67333,6.0
463,2.98667,8.4
464,3.01333,7.6
465,2.88,7.0
466,2.40667,6.6
467,2.39333,8.0
468,2.54667,8.2
469,1.96,5.6
470,2.69333,6.6
471,3.37333,7.0
472,2.78,7.4
473,2.15333,5.0
474,2.52667,6.4
475,2.52667,6.0
476,2.30667,7.6
477,1.8,5.4
478,2.27333,6.6
479,2.56,7.6
480,2.45333,6.6
481,3.66667,8.4
482,2.48667,6.0
483,2.52,9.6
484,3.32667,8.8
485,2.23333,4.6
486,1.84667,4.2
487,2.3,5.6
488,1.58667,4.4
489,2.04667,6.0
490,1.66,4.2
491,1.54667,4.6
492,1.44,4.4
493,1.44,5.2
494,1.07333,3.0
495,1.52667,3.6
496,1.66667,4.0
497,1.32,3.8
498,1.52,3.8
499,1.14667,3.2
500,1.33333,3.6
501,1.52,4.4
502,1.22667,6.4
503,1.30667,3.6
504,1.14,3.2
505,1.63333,4.0
506,1.16,3.0
507,1.21333,3.8
508,1.74667,4.2
509,1.15333,3.4
510,1.42,8.0
511,1.39333,5.0
512,1.32667,2.8
513,1.53333,4.6
514,1.27333,4.6
515,1.65333,4.4
516,1.5,4.8
517,1.26,3.2
518,1.39333,4.2
519,1.47333,3.2
520,1.38667,3.4
521,1.16,3.2
522,1.25333,2.8
523,1.64,5.4
524,1.34,4.2
525,1.60667,3.6
526,1.7,5.4
527,1.66,4.4
528,1.60667,3.8
529,1.90667,6.4
530,1.65333,5.6
531,1.73333,6.6
532,1.41333,3.6
533,1.68667,5.2
534,1.7,4.0
535,1.75333,5.0
536,1.65333,4.8
537,1.65333,4.6
538,1.52,4.2
539,2.04,4.8
540,2.14,5.2
541,1.58667,5.0
542,1.93333,4.4
543,2.04,4.6
544,1.38667,3.8
545,1.9,5.0
546,1.56667,4.0
547,2.17333,5.4
548,2.18,6.2
549,1.52667,4.0
550,1.78667,5.0
551,1.84667,4.0
552,1.78,4.4
553,1.84,5.0
554,1.88667,5.4
555,2.1,5.4
556,2.26667,6.2
557,1.65333,4.4
558,1.6,3.8
559,1.58,3.4
560,1.70667,4.0
561,2.05333,5.2
562,1.91333,4.4
563,2.03333,4.2
564,1.36,3.4
565,1.28667,3.2
566,1.76,5.0
567,1.45333,3.8
568,1.65333,4.4
569,2.04667,6.0
570,2.01333,5.4
571,1.90667,3.6
572,2.93333,7.8
573,2.17333,5.0
574,1.90667,4.2
575,1.48667,3.6
576,1.82,5.6
