Generation,Average Fitness,Best Fitness
298,3.65333,8.6
299,3.12,8.4
300,2.81333,5.2
301,2.54,5.4
302,2.37333,7.6
303,2.63333,5.4
304,2.64,5.6
305,2.73333,6.8
306,2.25333,4.8
307,2.98,6.4
308,2.58,6.0
309,2.39333,5.2
310,2.98,6.4
311,2.43333,5.4
312,3.08,7.4
313,2.85333,5.2
314,2.5,4.8
315,2.12667,5.0
316,2.42667,5.2
317,2.47333,5.0
318,2.68667,5.6
319,2.66,6.0
320,2.36667,5.4
321,2.51333,7.0
322,2.78,6.0
323,3.32667,8.0
324,3.11333,7.6
325,2.49333,9.0
326,2.40667,6.2
327,3.05333,6.2
328,2.67333,5.8
329,2.66,7.6
330,2.49333,4.8
331,2.64667,5.6
332,3.13333,6.4
333,2.75333,6.2
334,2.88667,8.8
335,2.68667,6.6
336,2.34667,5.8
337,2.64,7.6
338,2.42,6.6
339,3.22,6.4
340,2.26667,4.8
341,2.33333,7.2
342,1.90667,5.8
343,2.48,4.8
344,2.79333,7.0
345,2.64,6.0
346,2.14667,4.6
347,2.26,5.2
348,2.46,5.0
349,2.86,7.0
350,2.73333,7.8
351,2.78,5.6
352,2.49333,4.4
353,2.38667,5.6
354,2.37333,5.8
355,2.04,3.8
356,2.45333,5.6
357,1.89333,5.6
358,2.4,7.6
359,1.84,4.2
360,1.68,4.8
361,2.24667,6.0
362,2.48667,5.6
363,2.6,5.6
364,2.11333,4.6
365,2.16667,5.2
366,1.92667,5.6
367,1.78,5.4
368,2.48,6.4
369,2.95333,7.0
370,2.34667,5.4
371,2.42667,4.8
372,2.57333,6.2
373,2.01333,5.2
374,2.29333,4.2
375,2.01333,4.2
376,2.09333,4.8
377,1.7,3.8
378,2.02667,4.2
379,1.95333,6.4
380,1.32,3.6
381,1.71333,5.2
382,2.00667,6.6
383,1.84667,4.4
384,2.38,5.2
385,2.02,6.4
386,2.27333,5.2
387,2.41333,5.2
388,2.46667,5.8
389,2.7,6.6
390,2.9,7.6
391,2.08667,4.2
392,2.4,5.2
393,2.06667,4.4
394,2.67333,7.6
395,2.54667,6.8
396,2.27333,5.6
397,2.88667,5.8
398,2.4,4.8
399,2.60667,7.8
400,2.58,6.2
401,2.00667,6.0
402,2.87333,7.0
403,1.9,4.2
404,2.15333,5.2
405,1.97333,4.0
406,1.78667,3.6
407,1.53333,4.2
408,2.14667,5.2
409,2.12,5.6
410,1.92,5.2
411,2.44667,5.2
412,1.76,6.2
413,1.37333,3.2
414,1.14667,2.8
415,1.26,4.0
416,1.42667,3.6
417,1.71333,5.0
418,1.61333,4.4
419,1.72,3.8
420,2.16667,4.4
421,2.46667,6.6
422,2.08,4.6
423,1.83333,5.2
424,1.98,5.4
425,2.46667,5.6
426,2.5,6.2
427,2.48,4.8
428,2.53333,5.6
429,3.26667,6.4
430,2.6,8.2
431,2.72667,6.0
432,2.94667,6.2
433,2.78,4.6
434,3.16,7.0
435,2.64667,7.2
436,2.75333,5.2
437,2.48,6.2
438,2.04,5.4
439,2.75333,5.4
440,2.54667,6.2
441,2.56,6.0
442,2.7,5.0
443,2.62,5.2
444,2.60667,5.6
445,2.63333,6.4
446,2.18667,3.8
447,2.94667,8.2
448,2.29333,4.8
449,2.84,6.0
450,2.38,4.8
451,2.40667,5.8
452,2.74,5.6
453,2.34,6.8
454,1.99333,5.8
455,2.34,4.6
456,2.52,6.0
457,1.94,5.4
458,2.08667,5.6
459,2.09333,5.2
460,2.54667,5.0
461,2.41333,4.8
462,2.21333,4.4
463,1.88667,4.4
464,1.77333,6.6
465,1.86,4.4
466,2.05333,5.4
467,2.15333,5.4
468,2.12667,4.0
469,2.02,6.0
470,2.63333,5.8
471,2.7,8.6
472,3.10667,5.6
473,2.68667,7.4
474,2.1,6.8
475,1.84667,4.8
476,1.98,3.6
477,2.42667,5.8
478,2.13333,6.6
479,2.14667,6.8
480,2.34,6.2
481,2.01333,5.2
482,2.21333,6.0
483,2.32667,6.8
484,2.40667,6.0
485,2.64667,6.0
486,2.32,3.8
487,2.46,5.0
488,2.23333,5.2
489,2.54667,5.4
490,2.16667,4.6
491,2.23333,6.2
492,1.98,4.8
493,1.74,4.2
494,1.94,5.0
495,2.14667,4.0
496,2.11333,5.8
497,1.97333,5.0
498,2.08,5.8
499,1.66,5.0
500,1.74,4.2
501,1.66667,5.0
502,1.86667,4.6
503,2.38667,5.0
504,2.00667,6.4
505,1.68667,4.2
506,1.92667,5.0
507,2.4,6.6
508,2.84667,5.8
509,2.38667,6.2
510,2.96,8.0
511,2.26,5.6
512,2.11333,6.2
513,2.10667,5.8
514,2.2,9.2
515,2.45333,5.6
516,2.18,4.2
517,1.42,5.0
518,2.17333,5.2
519,2.06667,6.8
520,2.04667,5.2
521,1.84,4.6
522,1.93333,4.8
523,1.62,3.4
524,2.00667,5.4
525,1.92,5.0
526,1.8,4.4
527,1.63333,4.4
528,1.37333,3.6
529,2.55333,8.0
530,1.9,5.8
531,1.76,3.6
532,2.11333,6.0
533,2.38667,6.6
534,2.56667,5.2
535,2.24,5.6
536,2.12667,4.8
537,3.1,5.6
538,2.40667,5.8
539,2.82,4.6
540,2.96,5.6
541,2.82667,4.8
542,2.94667,6.8
543,2.92667,7.2
544,2.71333,6.6
545,2.28,6.6
546,2.06667,5.0
547,2.31333,5.2
548,3.06667,6.8
549,2.84,6.4
550,2.5,5.0
551,2.90667,6.2
552,2.52,6.0
553,2.61333,8.6
554,2.58,5.4
555,2.38667,7.4
556,2.28667,5.4
557,2.48667,5.2
558,2.14,6.0
559,2.72,6.2
560,2.05333,5.2
561,2.62667,6.0
562,2.02667,6.0
563,2.42667,6.4
564,2.37333,6.4
565,2.42667,5.0
566,1.88,5.0
567,2.00667,5.6
568,1.62,4.0
569,2.28667,6.2
570,1.84,5.0
571,1.52667,4.2
572,1.41333,3.8
573,1.48667,4.0
574,1.94,4.8
575,2.05333,5.4
576,1.78667,3.6
577,2.12,7.2
578,1.42,3.4
579,2.02667,5.4
