Generation,Average Fitness,Best Fitness
1,0.43501,1.0
2,0.4023,0.9
3,0.340446,0.95
4,0.362205,0.95
5,0.294442,0.576667
6,0.267624,0.433803
7,0.245728,0.59
8,0.249331,0.433333
9,0.22748,0.553333
10,0.239298,0.483333
11,0.234554,0.531905
12,0.225398,0.47
13,0.208484,0.397619
14,0.210841,0.658333
15,0.23851,0.553333
16,0.206425,0.5625
17,0.197967,0.339863
18,0.170757,0.393333
19,0.182196,0.307388
20,0.187718,0.493333
21,0.21437,0.476422
22,0.168779,0.277778
23,0.172622,0.475
24,0.178938,0.310801
25,0.206397,0.695833
26,0.166487,0.378452
27,0.195391,0.345192
28,0.173705,0.296944
29,0.224655,0.5
30,0.200804,0.49
31,0.205155,0.57
32,0.219981,0.606667
33,0.209325,0.465
34,0.243935,0.745397
35,0.235043,0.666667
36,0.293031,0.575
37,0.294027,0.583333
38,0.288275,1.0
39,0.337325,0.8
40,0.349711,0.7
41,0.428075,1.0
42,0.292326,0.626786
43,0.249611,0.59
44,0.260683,0.466667
45,0.213691,0.450833
46,0.19985,0.415397
47,0.23328,0.589286
48,0.250139,0.512897
49,0.248562,0.533333
50,0.2672,0.583333
51,0.291664,0.7
52,0.333351,0.766667
53,0.277059,0.633333
54,0.268069,0.675
55,0.338677,0.875
56,0.327802,0.7
57,0.259215,0.614286
58,0.280988,0.8
59,0.261579,0.563333
60,0.283899,0.658333
61,0.293878,0.616667
62,0.267908,0.65
63,0.236745,0.55
64,0.288014,1.0
65,0.26797,0.75
66,0.239782,0.541667
67,0.268305,0.708333
68,0.284478,0.708333
69,0.316527,0.825
70,0.333234,0.858333
71,0.31408,0.591667
72,0.300232,0.8
73,0.271865,0.633333
74,0.271392,0.645
75,0.231231,0.486667
76,0.210191,0.425
77,0.249108,0.595
78,0.258107,0.866667
79,0.237012,0.468611
80,0.221808,0.43373
81,0.195201,0.361283
82,0.307318,1.0
83,0.268196,0.725
84,0.27181,0.695
85,0.256457,0.453333
86,0.222221,0.462619
87,0.249048,0.432738
88,0.315143,1.0
89,0.224693,0.489091
90,0.296249,0.666667
91,0.305505,0.75
92,0.280896,0.608333
93,0.28975,0.633333
94,0.250078,0.57
95,0.241316,0.491667
96,0.274755,0.711667
97,0.318195,0.615
98,0.270077,0.525
99,0.293876,0.586667
100,0.30089,0.6
101,0.337163,0.816667
102,0.297124,0.8
103,0.346812,0.716667
104,0.327308,0.9
105,0.29297,0.458333
106,0.279127,0.589286
107,0.30282,0.641667
108,0.319889,0.75
109,0.305654,0.808333
110,0.316818,0.65
111,0.31834,0.783333
112,0.234123,0.424286
113,0.285982,0.783333
114,0.306025,0.666667
115,0.310873,0.733333
116,0.300543,0.783333
117,0.314673,0.7
118,0.329489,0.69
119,0.321503,0.574167
120,0.381427,0.85
121,0.382052,0.8
122,0.361766,0.816667
123,0.420596,0.683333
124,0.393068,0.9
125,0.404902,0.95
126,0.453256,0.9
127,0.364349,0.75
128,0.372114,0.95
129,0.345104,0.733333
130,0.400669,0.9
131,0.404988,0.95
132,0.370633,1.0
133,0.343555,0.816667
134,0.385116,0.95
135,0.34076,0.741667
136,0.328889,0.8
137,0.356528,0.65
138,0.417576,0.883333
139,0.352854,0.8
140,0.350582,0.67
141,0.337348,0.775
142,0.414586,1.0
143,0.372944,0.8
144,0.39759,1.0
145,0.427693,1.0
146,0.42231,0.8
147,0.441545,0.883333
148,0.380265,1.0
149,0.376022,0.728333
150,0.398524,0.933333
151,0.380106,0.8
152,0.409564,0.95
153,0.50965,1.0
154,0.46773,1.0
155,0.392034,0.866667
156,0.46802,0.95
157,0.431157,0.883333
158,0.386006,0.766667
159,0.416075,0.725
160,0.388999,0.728333
161,0.478865,0.9
162,0.51429,1.0
163,0.446374,0.95
164,0.402703,0.816667
165,0.421,0.75
166,0.413462,1.0
167,0.435422,0.85
168,0.406524,1.0
169,0.386563,1.0
170,0.409499,0.9
171,0.439451,1.0
172,0.436297,1.0
173,0.377352,0.733333
174,0.425539,0.883333
175,0.352746,0.783333
176,0.403118,0.75
177,0.514368,1.0
178,0.528227,1.0
179,0.431646,0.95
180,0.473948,1.0
181,0.533739,1.0
182,0.457903,0.8
183,0.453675,1.0
184,0.500836,1.0
185,0.425127,1.0
186,0.493783,0.95
187,0.480235,1.0
188,0.52411,1.0
189,0.494143,1.0
190,0.521302,1.0
191,0.574479,1.0
192,0.457475,1.0
193,0.4988,1.0
194,0.445427,1.0
195,0.467851,1.0
196,0.425024,0.816667
197,0.410772,1.0
198,0.438738,1.0
199,0.49581,1.0
200,0.415983,0.75
201,0.467513,1.0
202,0.444548,0.8
203,0.416239,0.866667
204,0.469144,1.0
205,0.492925,0.95
206,0.474518,0.85
207,0.454402,1.0
208,0.425422,0.8
209,0.476414,1.0
210,0.448091,0.9
211,0.514878,1.0
212,0.608932,1.0
213,0.545132,1.0
214,0.501454,1.0
215,0.483726,0.8
216,0.47354,0.9
217,0.50581,1.0
218,0.578085,1.0
219,0.591643,1.0
220,0.595353,1.0
221,0.575476,1.0
222,0.586893,1.0
223,0.509765,0.9
224,0.457922,0.9
225,0.5402,1.0
226,0.488389,1.0
227,0.474762,0.758333
228,0.463697,0.85
229,0.482462,0.8
230,0.478807,1.0
231,0.410094,0.825
232,0.486716,1.0
233,0.548741,1.0
234,0.574484,1.0
235,0.502802,1.0
236,0.558829,1.0
237,0.523208,1.0
238,0.518077,1.0
239,0.467488,1.0
240,0.465488,1.0
241,0.442941,0.95
242,0.471873,0.786667
243,0.414412,1.0
244,0.475126,1.0
245,0.462001,1.0
246,0.430054,0.95
247,0.41266,0.9
248,0.38727,0.778333
249,0.391751,0.9
250,0.450133,0.95
251,0.394315,0.883333
252,0.399436,1.0
253,0.441831,1.0
254,0.397336,0.791667
255,0.384128,0.8
256,0.412739,0.85
257,0.470802,1.0
258,0.473001,0.9
259,0.435267,0.8
260,0.36162,1.0
261,0.413033,0.87
262,0.38093,0.728333
263,0.42913,1.0
264,0.470673,1.0
265,0.482082,0.783333
266,0.46444,1.0
267,0.526275,1.0
268,0.556972,1.0
269,0.541611,1.0
270,0.463278,1.0
271,0.588376,1.0
272,0.474995,1.0
273,0.478454,1.0
274,0.483808,0.925
275,0.515964,1.0
276,0.451541,1.0
277,0.474352,1.0
278,0.45416,0.9
279,0.466152,0.95
280,0.450202,0.825
281,0.476421,1.0
282,0.463258,0.95
283,0.457734,0.75
284,0.44238,0.95
285,0.437754,0.84
286,0.422811,1.0
287,0.452785,1.0
288,0.387358,0.691667
289,0.440447,0.803333
290,0.427754,0.9
291,0.448627,0.95
292,0.454529,0.9
293,0.378256,0.783333
294,0.413376,1.0
295,0.43673,0.95
296,0.389039,0.85
297,0.418447,0.95
298,0.397398,0.8
299,0.431975,0.85
300,0.431854,1.0
301,0.444854,1.0
302,0.453583,1.0
303,0.46057,1.0
304,0.426447,0.95
305,0.448342,0.816667
306,0.462735,0.95
307,0.408302,1.0
308,0.43803,0.933333
309,0.436964,0.875
310,0.395394,0.683333
311,0.48841,0.9
312,0.42859,0.9
313,0.465501,1.0
314,0.441175,0.825
315,0.522344,1.0
316,0.465532,0.95
317,0.481979,1.0
318,0.427631,0.933333
319,0.424132,0.8
320,0.452952,0.9
321,0.411302,0.683333
322,0.404389,0.766667
323,0.396325,0.816667
324,0.424203,1.0
325,0.460676,0.95
326,0.445257,0.733333
327,0.385024,0.766667
328,0.428215,0.9
329,0.397341,0.725
330,0.461463,1.0
331,0.427066,0.8
332,0.420022,1.0
333,0.480704,1.0
334,0.385676,0.825
335,0.402149,0.65
336,0.470721,0.9
337,0.44938,0.85
338,0.435702,1.0
339,0.391569,0.75
340,0.464311,0.9
341,0.452479,0.816667
342,0.547591,1.0
343,0.433151,0.95
344,0.446775,1.0
345,0.392037,0.766667
346,0.480038,1.0
347,0.466861,0.783333
348,0.43873,0.9
349,0.415822,0.666667
350,0.434798,0.9
351,0.462383,0.95
352,0.434291,0.866667
353,0.451419,1.0
354,0.473459,1.0
355,0.49156,1.0
356,0.449312,0.85
357,0.53357,1.0
358,0.424747,0.716667
359,0.544197,0.95
360,0.552841,1.0
361,0.507782,1.0
362,0.446192,1.0
