Generation,Average Fitness,Best Fitness
300,2.49333,6.2
301,2.5,5.8
302,2.46667,5.6
303,2.06667,4.6
304,2.65333,6.8
305,2.38667,5.2
306,2.69333,6.4
307,2.73333,7.4
308,2.91333,7.2
309,2.6,5.0
310,3.0,7.8
311,2.85333,7.4
312,3.16667,9.8
313,3.42667,7.0
314,2.37333,5.8
315,2.30667,5.6
316,2.13333,6.8
317,2.82,8.4
318,3.33333,7.8
319,2.55333,6.0
320,2.16,5.0
321,3.12667,7.0
322,2.86,5.4
323,2.77333,5.4
324,2.29333,4.6
325,2.76667,5.8
326,2.50667,5.0
327,1.69333,4.2
328,2.68,5.2
329,2.32667,4.8
330,2.64,5.2
331,2.68,5.0
332,2.56667,6.2
333,1.74667,4.6
334,2.25333,5.6
335,2.88667,7.4
336,2.38667,4.0
337,2.8,5.6
338,2.44667,4.4
339,2.62667,5.8
340,2.53333,8.6
341,3.01333,7.4
342,2.08667,4.8
343,2.68667,6.0
344,2.11333,6.2
345,2.34667,6.4
346,2.22667,7.8
347,2.68667,5.2
348,2.34,4.4
349,2.2,5.2
350,2.57333,6.4
351,2.54,6.0
352,2.46667,5.4
353,2.16667,3.8
354,3.36,8.2
355,2.09333,4.2
356,2.38667,5.4
357,2.68667,6.0
358,2.39333,5.4
359,2.84667,6.2
360,3.07333,5.6
361,3.26,5.8
362,2.86,7.4
363,2.9,5.4
364,2.8,7.4
365,2.14,4.4
366,2.51333,6.8
367,2.98,9.0
368,2.63333,5.2
369,2.20667,4.4
370,2.45333,6.0
371,2.58667,4.6
372,2.42,6.4
373,2.13333,4.6
374,1.95333,4.6
375,2.90667,7.0
376,2.7,6.4
377,2.99333,6.4
378,2.92667,5.6
379,2.71333,7.6
380,2.72,10.0
381,2.3,4.6
382,2.8,5.8
383,2.04667,5.0
384,2.62667,4.6
385,2.38,5.0
386,2.39333,5.4
387,2.46,5.8
388,1.86,4.6
389,2.65333,5.4
390,2.19333,5.8
391,2.68,6.2
392,2.36,4.8
393,2.40667,5.4
394,2.51333,6.0
395,2.62,5.0
396,2.40667,6.2
397,2.11333,4.0
398,1.82,4.2
399,1.96,6.0
400,2.56667,5.6
401,2.0,5.8
402,1.94667,4.0
403,2.28667,5.8
404,1.91333,6.0
405,1.82667,4.6
406,1.79333,4.0
407,1.54,3.8
408,1.51333,3.6
409,1.94,5.2
410,2.1,4.4
411,1.94,4.4
412,2.18667,6.8
413,2.59333,5.0
414,2.17333,5.6
415,2.5,5.0
416,3.12667,6.0
417,2.74667,6.8
418,3.01333,6.8
419,2.67333,4.2
420,2.2,5.2
421,2.75333,7.0
422,2.62667,5.4
423,2.34,5.4
424,2.58667,5.0
425,2.96667,5.8
426,2.92667,6.4
427,2.42667,5.4
428,2.74,5.2
429,3.01333,6.6
430,2.72667,6.4
431,2.23333,4.6
432,2.40667,5.4
433,2.4,5.6
434,1.91333,5.0
435,1.81333,4.0
436,1.97333,6.6
437,2.13333,5.8
438,2.11333,7.6
439,1.98,5.6
440,2.4,5.0
441,2.68667,5.2
442,2.26,4.8
443,2.24667,5.2
444,2.21333,5.0
445,2.4,4.8
446,2.66,5.8
447,2.16667,5.0
448,2.18,6.0
449,2.50667,6.2
450,2.13333,4.8
451,1.7,4.2
452,2.07333,5.2
453,2.54667,5.6
454,1.96,6.6
455,2.52,5.6
456,2.14667,5.0
457,2.27333,5.2
458,2.15333,5.2
459,2.35333,8.6
460,1.84667,4.8
461,1.46,4.0
462,1.56667,4.0
463,1.76667,4.0
464,2.30667,7.0
465,1.47333,5.4
466,1.38667,5.8
467,1.76,5.4
468,1.90667,5.2
469,2.18667,5.6
470,2.23333,7.2
471,2.19333,5.4
472,2.24667,4.6
473,1.94,4.8
474,1.89333,5.2
475,2.07333,6.8
476,1.80667,3.8
477,1.88667,4.0
478,1.82667,5.2
479,2.71333,5.8
480,2.81333,4.8
481,1.91333,4.8
482,2.64667,7.2
483,1.90667,5.8
484,2.36667,4.4
485,2.40667,6.8
486,2.58667,7.8
487,2.11333,4.6
488,2.32,6.8
489,2.10667,5.2
490,2.60667,4.8
491,2.12667,4.6
492,2.75333,6.0
493,2.20667,5.6
494,2.04667,3.8
495,2.09333,4.2
496,2.06667,6.0
497,2.33333,4.8
498,2.18667,5.8
499,2.25333,4.8
500,1.99333,5.6
501,1.90667,4.6
502,2.07333,4.6
503,2.08,5.6
504,1.91333,4.8
505,1.48667,3.0
506,1.97333,4.4
507,1.90667,4.2
508,1.81333,3.4
509,1.52667,3.8
510,1.7,3.8
511,1.7,4.6
512,1.4,4.0
513,1.98667,6.0
514,1.75333,2.8
