Generation,Average Fitness,Best Fitness
299,3.36,8.4
300,2.8,7.2
301,4.22667,7.8
302,3.36,7.4
303,3.19333,7.2
304,4.23333,9.0
305,3.87333,6.6
306,3.83333,9.6
307,3.54,6.0
308,3.62667,6.6
309,3.50667,6.4
310,3.88,6.8
311,3.12667,7.2
312,4.38,8.2
313,3.36667,8.0
314,2.62667,6.8
315,2.58667,6.2
316,2.92667,6.6
317,3.61333,9.4
318,2.66667,6.8
319,3.28667,6.4
320,3.34667,6.4
321,3.03333,5.4
322,2.83333,7.0
323,4.15333,8.6
324,4.47333,10.4
325,4.38667,8.6
326,4.18667,8.0
327,3.44,6.8
328,3.79333,8.8
329,3.6,6.6
330,3.32,7.4
331,2.95333,7.4
332,3.34,6.4
333,3.44,6.6
334,3.21333,6.2
335,4.00667,8.6
336,3.64,8.2
337,3.85333,7.0
338,3.84667,9.0
339,3.5,8.8
340,3.86667,7.6
341,3.85333,9.6
342,2.94,7.0
343,3.22667,7.6
344,4.44,9.0
345,3.94,7.8
346,3.62,8.4
347,3.63333,7.6
348,4.37333,7.6
349,3.83333,7.2
350,3.5,10.0
351,3.66667,7.6
352,3.74,7.2
353,3.54667,9.2
354,3.26,6.6
355,2.37333,5.2
356,2.70667,8.6
357,2.72667,5.2
358,3.36667,6.4
359,3.28667,9.6
360,4.00667,10.8
361,3.53333,5.8
362,4.56,7.8
363,3.26667,7.0
364,3.58,7.4
365,2.71333,4.8
366,2.5,5.8
367,2.83333,6.8
368,2.42,6.8
369,2.43333,6.0
370,2.99333,7.4
371,2.76667,5.2
372,3.54,10.0
373,3.92,7.6
374,3.11333,6.8
375,2.61333,5.6
376,2.66667,7.2
377,2.54,6.2
378,2.58667,6.6
379,2.12667,4.8
380,2.43333,6.8
381,2.75333,6.0
382,3.03333,7.6
383,3.89333,9.2
384,2.88,5.8
385,2.79333,6.0
386,2.88667,5.8
387,3.33333,6.6
388,2.94667,6.6
389,2.92,6.4
390,2.62667,6.2
391,2.46,5.4
392,2.96,8.0
393,2.77333,6.6
394,2.9,5.2
395,2.90667,8.4
396,2.77333,5.4
397,3.19333,6.0
398,2.88667,6.0
399,3.58,10.4
400,2.25333,5.6
401,2.58,7.8
402,2.72,5.6
403,2.91333,7.4
404,2.98667,5.2
405,2.8,6.0
406,2.60667,7.8
407,2.68,7.2
408,2.61333,7.0
409,2.52667,5.2
410,2.40667,5.6
411,2.86,6.8
412,2.21333,4.8
413,2.37333,5.0
414,2.8,7.0
415,2.48,4.6
416,2.15333,5.4
417,1.78667,4.4
418,2.40667,4.8
419,2.7,5.8
420,2.45333,5.2
421,3.09333,6.4
422,3.09333,5.6
423,3.11333,5.6
424,3.6,7.4
425,3.16,5.8
426,3.46667,8.0
427,3.19333,8.2
428,3.24,5.8
429,3.35333,7.2
430,3.33333,6.0
431,3.05333,6.6
432,3.1,6.4
433,2.5,5.0
434,2.76667,6.4
435,3.8,9.6
436,2.94667,5.8
437,2.75333,5.8
438,3.51333,11.4
439,3.0,7.8
440,2.83333,6.0
441,2.97333,6.0
442,2.24,4.4
443,2.43333,6.0
444,2.53333,7.4
445,3.01333,6.4
446,2.62,6.2
447,2.74,5.2
448,2.45333,5.2
449,2.54,6.6
450,3.36,7.8
451,3.05333,8.6
452,3.68,6.4
453,2.75333,6.4
454,2.86,6.4
455,2.86667,5.8
456,2.59333,6.6
457,3.03333,6.8
458,2.58667,5.0
459,2.99333,4.8
460,2.95333,6.2
461,3.06,8.4
462,2.84,5.4
463,2.58,6.8
464,2.54667,4.2
465,2.78667,6.2
466,2.66667,6.2
467,3.01333,8.6
468,2.66667,7.2
469,2.57333,5.2
470,2.44,5.4
471,2.39333,5.2
472,2.69333,5.4
473,2.67333,6.0
474,2.22667,4.4
475,3.02667,6.8
476,2.66,5.4
477,2.26,5.2
478,2.61333,4.8
479,2.69333,7.2
480,2.75333,7.6
481,2.24,4.8
482,1.88667,4.2
483,2.2,4.4
484,2.3,4.8
485,2.49333,6.2
486,1.98,4.6
487,2.4,5.0
488,2.55333,6.8
489,2.5,5.2
490,2.16667,5.0
491,2.30667,5.0
492,2.51333,5.0
493,2.68667,6.2
494,2.24667,5.6
495,2.44667,5.6
496,2.06667,5.2
497,2.06667,4.6
498,1.62,5.2
499,1.82,4.4
500,1.56,4.6
501,2.26,4.8
502,1.72,5.2
503,2.36667,5.8
504,2.45333,6.8
505,2.47333,6.0
506,2.46,7.6
507,2.44,6.6
508,2.42667,4.6
509,2.12,5.6
510,2.56,6.0
511,2.3,5.8
512,2.15333,4.4
513,2.11333,3.8
514,2.36,6.0
515,2.99333,6.2
516,2.14667,5.4
517,2.88,7.8
518,2.2,5.4
519,2.34667,4.8
520,2.42,6.6
521,2.58,6.2
522,2.44667,5.6
523,2.76667,9.4
524,2.9,8.0
525,2.46667,5.2
526,2.72667,6.6
527,2.25333,4.8
528,2.78,7.2
529,2.47333,4.8
530,2.22,5.0
531,2.48,5.4
532,2.22,4.8
533,2.50667,8.6
534,2.05333,4.6
535,2.37333,6.0
536,2.54667,6.2
537,2.32,5.4
538,2.07333,5.6
539,1.68667,5.0
540,2.58667,5.0
541,2.28667,5.2
542,2.09333,5.0
543,2.27333,7.6
544,1.96,5.0
545,2.37333,6.0
546,2.15333,4.6
547,2.47333,5.2
548,1.83333,4.0
549,2.22667,5.0
550,2.44,5.8
551,2.64,6.6
552,1.9,4.4
553,2.22667,4.8
554,2.02667,4.0
555,2.24,8.0
556,2.8,7.0
557,2.38,5.2
558,2.03333,4.0
559,2.52,6.6
